,Date,Low,High,Close,Open
680,2015-02-03,73.86,75.58,75.4,75.19
681,2015-02-04,75.01,76.35,75.63,75.09
682,2015-02-05,75.21,75.98,75.615,75.71
683,2015-02-06,74.25,75.7,74.47,75.68
684,2015-02-09,73.45,74.83,74.44,74.05
685,2015-02-10,74.5,75.34,75.19,74.85
686,2015-02-11,75.03,76.75,76.51,75.09
687,2015-02-12,75.89,76.87,76.23,76.86
688,2015-02-13,75.5,76.48,75.74,76.46
689,2015-02-17,75.08,76.91,75.6,75.3
690,2015-02-18,75.45,76.9,76.71,75.94
691,2015-02-19,76.95,79.84,79.42,76.986
692,2015-02-20,79.2,80.34,79.895,79.55
693,2015-02-23,78.38,80.19,78.84,79.96
694,2015-02-24,78.1,79.48,78.45,78.5
695,2015-02-25,78.5,80.2,79.56,78.5
696,2015-02-26,79.72,81.37,80.41,79.88
697,2015-02-27,78.62,81.23,78.97,80.68
698,2015-03-02,78.52,79.855,79.75,79.0
699,2015-03-03,78.52,79.7,79.6,79.61
700,2015-03-04,78.85,81.15,80.895,79.3
701,2015-03-05,81.05,81.99,81.21,81.23
702,2015-03-06,79.83,81.33,80.005,80.9
703,2015-03-09,78.63,79.91,79.44,79.68
704,2015-03-10,77.55,79.26,77.55,78.5
705,2015-03-11,77.26,78.43,77.57,77.8
706,2015-03-12,77.91,79.05,78.93,78.1
707,2015-03-13,77.68,79.38,78.05,78.6
708,2015-03-16,77.36,78.12,78.07,77.96
709,2015-03-17,78.34,79.78,79.365,78.36
710,2015-03-18,79.17,81.24,80.91,79.25
711,2015-03-19,81.0,83.0,82.75,81.12
712,2015-03-20,83.07,84.6,83.8,83.39
713,2015-03-23,83.3,84.96,84.43,83.92
714,2015-03-24,84.52,86.0699,85.31,84.71
715,2015-03-25,82.92,85.52,82.92,85.5
716,2015-03-26,82.14,83.77,83.01,82.72
717,2015-03-27,82.88,83.95,83.3,83.38
718,2015-03-30,82.41,84.34,83.195,83.81
719,2015-03-31,82.21,83.5,82.215,82.9
720,2015-04-01,80.87,82.72,81.665,82.5
721,2015-04-02,81.44,82.56,81.555,82.25
722,2015-04-06,80.8,82.81,82.44,80.8
723,2015-04-07,82.22,83.42,82.32,82.65
724,2015-04-08,81.84,83.1,82.275,82.63
725,2015-04-09,81.71,82.8,82.17,82.5
726,2015-04-10,81.91,82.61,82.04,82.21
727,2015-04-13,81.92,83.94,83.01,81.93
728,2015-04-14,82.44,83.69,83.515,83.17
729,2015-04-15,82.27,83.66,82.705,83.55
730,2015-04-16,82.15,83.07,82.31,82.47
731,2015-04-17,80.37,82.11,80.775,81.48
732,2015-04-20,81.24,83.15,83.09,81.54
733,2015-04-21,83.54,84.49,83.62,84.0
734,2015-04-22,83.65,84.74,84.63,84.32
735,2015-04-23,82.41,85.59,82.41,84.1
736,2015-04-24,81.48,82.94,81.53,82.77
737,2015-04-27,81.63,82.93,81.91,81.87
738,2015-04-28,80.23,81.9,80.68,81.83
739,2015-04-29,79.52,81.39,80.465,80.01
740,2015-04-30,78.32,80.96,78.77,80.01
741,2015-05-01,78.11,79.76,78.99,79.24
742,2015-05-04,78.6301,79.69,78.81,79.33
743,2015-05-05,77.22,78.8,77.56,78.55
744,2015-05-06,77.05,78.81,78.1,77.97
745,2015-05-07,77.56,78.94,78.425,78.0
746,2015-05-08,78.03,79.23,78.51,79.1
747,2015-05-11,77.93,79.03,78.01,78.48
748,2015-05-12,76.79,77.89,77.46,77.87
749,2015-05-13,77.65,78.53,78.44,77.72
750,2015-05-14,78.67,81.845,81.37,78.94
751,2015-05-15,80.18,81.52,80.42,81.41
752,2015-05-18,80.23,81.38,80.88,80.33
753,2015-05-19,80.55,81.69,80.63,81.25
754,2015-05-20,79.46,81.1,80.55,80.47
755,2015-05-21,80.08,80.92,80.48,80.19
756,2015-05-22,80.25,81.31,80.54,80.35
757,2015-05-26,79.08,80.6,79.335,80.43
758,2015-05-27,79.43,80.66,80.55,79.6
759,2015-05-28,80.0,81.0745,80.145,80.25
760,2015-05-29,78.88,80.07,79.19,79.95
761,2015-06-01,78.66,80.38,80.29,79.3
762,2015-06-02,79.56,81.35,80.445,79.76
763,2015-06-03,81.25,82.53,82.44,81.35
764,2015-06-04,81.51,82.95,82.05,82.14
765,2015-06-05,81.51,82.46,82.14,81.87
766,2015-06-08,80.13,82.0,80.67,81.82
767,2015-06-09,79.32,81.19,80.67,80.6
768,2015-06-10,80.81,82.6,82.16,80.83
769,2015-06-11,81.36,82.9,81.83,82.31
770,2015-06-12,81.2,82.09,81.53,81.37
771,2015-06-15,80.07,80.93,80.71,80.55
772,2015-06-16,80.45,81.51,81.06,80.82
773,2015-06-17,81.34,82.22,81.79,81.76
774,2015-06-18,81.57,83.19,82.905,81.64
775,2015-06-19,82.12,82.98,82.51,82.83
776,2015-06-22,83.31,84.97,84.74,83.41
777,2015-06-23,84.76,87.97,87.88,84.96
778,2015-06-24,87.45,89.25,88.86,87.66
779,2015-06-25,87.835,89.4,87.98,89.26
780,2015-06-26,86.8283,88.34,88.01,88.12
781,2015-06-29,85.73,87.5,85.8,86.61
782,2015-06-30,85.57,86.7,85.765,86.6
783,2015-07-01,86.49,87.95,86.91,86.77
784,2015-07-02,86.3401,87.44,87.285,87.4
785,2015-07-06,86.39,88.1846,87.55,86.49
786,2015-07-07,85.231,87.85,87.22,87.8
787,2015-07-08,85.445,86.75,85.65,86.29
788,2015-07-09,85.6499,87.6,85.88,86.73
789,2015-07-10,86.77,88.22,87.95,87.35
790,2015-07-13,88.42,90.22,90.1,88.66
791,2015-07-14,89.65,90.8,89.68,90.46
792,2015-07-15,89.42,90.99,89.76,90.0
793,2015-07-16,89.77,90.86,90.85,90.28
794,2015-07-17,92.54,95.39,94.97,92.55
795,2015-07-20,95.36,98.6,97.91,95.85
796,2015-07-21,97.1427,99.24,98.39,98.95
797,2015-07-22,95.92,97.58,97.04,96.74
798,2015-07-23,94.81,97.45,95.44,96.96
799,2015-07-24,95.88,97.76,96.95,97.35
800,2015-07-27,93.8301,96.61,94.17,96.58
801,2015-07-28,93.31,95.56,95.29,94.84
802,2015-07-29,94.74,97.28,96.99,96.32
803,2015-07-30,91.8,95.81,95.21,94.91
804,2015-07-31,93.95,96.33,94.01,94.95
805,2015-08-03,92.8,95.08,94.14,93.53
806,2015-08-04,93.33,94.73,94.06,93.79
807,2015-08-05,95.18,97.09,96.44,95.25
808,2015-08-06,94.42,98.74,95.12,97.18
809,2015-08-07,93.61,95.4,94.3,95.38
810,2015-08-10,93.63,95.9,94.15,95.68
811,2015-08-11,92.9006,94.76,93.62,93.73
812,2015-08-12,91.19,94.44,94.19,92.7
813,2015-08-13,93.35,94.73,93.43,94.05
814,2015-08-14,93.21,94.72,94.42,93.54
815,2015-08-17,93.39,94.46,93.93,94.42
816,2015-08-18,94.04,95.85,95.17,94.08
817,2015-08-19,94.161,96.1,95.31,94.63
818,2015-08-20,90.46,94.77,90.56,93.54
819,2015-08-21,85.61,89.18,86.06,87.52
820,2015-08-24,72.0,87.14,82.09,77.03
821,2015-08-25,83.0,87.67,83.0,86.95
822,2015-08-26,83.26,87.46,87.19,85.95
823,2015-08-27,87.19,90.06,89.73,89.19
824,2015-08-28,89.792,91.48,91.01,89.94
825,2015-08-31,88.89,91.05,89.43,90.59
826,2015-09-01,86.5,89.39,87.23,86.99
827,2015-09-02,87.63,89.89,89.89,88.82
828,2015-09-03,87.73,89.82,88.15,89.76
829,2015-09-04,86.7,88.39,88.26,87.2
830,2015-09-08,88.83,90.24,89.53,89.69
831,2015-09-09,90.17,91.98,90.44,90.78
832,2015-09-10,89.63,92.06,91.98,90.07
833,2015-09-11,91.13,92.08,92.05,91.68
834,2015-09-14,91.6,92.62,92.31,92.31
835,2015-09-15,91.79,93.25,92.9,92.37
836,2015-09-16,92.63,93.6,93.45,92.9
837,2015-09-17,92.9,95.51,94.34,93.37
838,2015-09-18,93.05,95.19,94.4,93.2
839,2015-09-21,94.52,96.49,95.55,94.62
840,2015-09-22,91.92,94.68,92.96,93.77
841,2015-09-23,92.8,94.32,93.97,93.4
842,2015-09-24,92.24,94.765,94.41,93.06
843,2015-09-25,92.06,95.85,92.77,95.79
844,2015-09-28,88.18,92.29,89.21,92.08
845,2015-09-29,85.72,90.06,86.67,89.1
